country,year,log_asdr
Norway,2012,1.6670024971643145
Norway,2013,1.656283816651731
Norway,2014,1.6344266004882761
Norway,2015,1.5945460103883766
Norway,2016,1.5591609481379505
Norway,2017,1.5040942009535343
Norway,2018,1.5001063870309492
Belarus,1992,0.9407616366380518
Belarus,1993,1.0576908737799928
Belarus,1994,1.0806834819360225
Belarus,1995,1.1153437177076755
Belarus,1996,1.0944652585994152
Belarus,1997,1.1000843829665514
Belarus,1998,1.1498076167445166
Belarus,1999,1.2171694617382167
Belarus,2000,1.1976988129688626
Belarus,2001,1.2926583642962797
Belarus,2002,1.415179657684621
Belarus,2003,1.4288063151578965
Belarus,2004,1.3697736838194396
Belarus,2005,1.3404138409346655
Belarus,2006,1.2620739305176738
Belarus,2007,1.2034878337918598
Belarus,2008,1.1277661180856815
Belarus,2009,1.1026322674601707
Belarus,2010,1.1861219315186384
Belarus,2011,1.1669826561770713
Belarus,2012,1.0670994173997301
Belarus,2013,1.0735690941514235
Belarus,2014,1.049675656080454
Belarus,2015,0.9644884874443395
Belarus,2016,0.8634292190500368
Belarus,2017,0.7326177261728525
Belarus,2018,0.6823137396799341
Switzerland,1992,1.4733314447526191
Switzerland,1993,1.448139582249766
Switzerland,1994,1.4575672207331039
Switzerland,1995,1.4096318214051105
Switzerland,1996,1.3153242496619595
Switzerland,1997,1.224900843748111
Switzerland,1998,1.1667131831517958
Switzerland,1999,1.1159775899000985
Switzerland,2000,1.104828137658154
Switzerland,2001,1.0697663207341266
Switzerland,2002,1.0336260454396151
Switzerland,2003,1.0055010909206694
Switzerland,2004,0.9969576907104463
Switzerland,2005,1.0062464384818623
Switzerland,2006,0.9990237736980581
Switzerland,2007,0.9866198746670103
Switzerland,2008,0.9830413747666611
Switzerland,2009,0.9570735096297804
Switzerland,2010,0.8861048660259896
Switzerland,2011,0.855916168879272
Switzerland,2012,0.821102088409965
Switzerland,2013,0.8094782213618225
Switzerland,2014,0.7808578897987879
Switzerland,2015,0.7773940677798076
Switzerland,2016,0.7874275645937153
Switzerland,2017,0.8064242986890487
Switzerland,2018,0.8181406521350993
Colombia,1992,-1.0619780288409646
Colombia,1993,-1.0998755707406194
Colombia,1994,-1.1525760943513572
Colombia,1995,-1.2061198680664513
Colombia,1996,-1.220718732860238
Colombia,1997,-1.2858133567667454
Colombia,1998,-1.3272756935956769
Colombia,1999,-1.3080182944964909
Colombia,2000,-1.2734253350518976
Colombia,2001,-1.287958644964951
Colombia,2002,-1.3188403915468478
Colombia,2003,-1.3306499741680102
Colombia,2004,-1.388798535486961
Colombia,2005,-1.5448123919765746
Colombia,2006,-1.606921403451395
Colombia,2007,-1.659061269179989
Colombia,2008,-1.6438651937995654
Colombia,2009,-1.6216725256765134
Colombia,2010,-1.6290825397523976
Colombia,2011,-1.6163986918149504
Colombia,2012,-1.563770122545555
Colombia,2013,-1.54149040538384
Colombia,2014,-1.5368190959203103
Colombia,2015,-1.4985092949293208
Colombia,2016,-1.4260750283812325
Colombia,2017,-1.3731469274913446
Colombia,2018,-1.283364118433298
Belgium,1992,-0.09818099590964448
Belgium,1993,0.014461764517777176
Belgium,1994,0.10321372661168057
Belgium,1995,0.16012068932315973
Belgium,1996,0.20683268017351714
Belgium,1997,0.22350336609606605
Belgium,1998,0.2314403512505332
Belgium,1999,0.2930052391393148
Belgium,2000,0.35402095027920116
Belgium,2001,0.3598213597992058
Belgium,2002,0.34108613169259194
Belgium,2003,0.34384588540815486
Belgium,2004,0.3351255836810193
Belgium,2005,0.3628847004163582
Belgium,2006,0.3829814532960286
Belgium,2007,0.43446709302380077
Belgium,2008,0.4632374820114856
Belgium,2009,0.45793050695062026
Belgium,2010,0.4505085251879176
Belgium,2011,0.42381512692152895
Belgium,2012,0.409220145025338
Belgium,2013,0.4167661700956721
Belgium,2014,0.42999394979417255
Belgium,2015,0.4548136353524476
Belgium,2016,0.4717364207286984
Belgium,2017,0.4712507841376257
Belgium,2018,0.4934508202229632
Albania,1992,-0.3214486510283233
Albania,1993,-0.3083474260071006
Albania,1994,-0.30142613394367523
Albania,1995,-0.28651032189182774
Albania,1996,-0.2659503818108832
Albania,1997,-0.21616440394289752
Albania,1998,-0.09600120630380127
Albania,1999,-0.02471253621368489
Albania,2000,0.011412588427474536
Albania,2001,0.06282039058456244
Albania,2002,0.08408274065904665
Albania,2003,0.09722467091808308
Albania,2004,0.11121782645297837
Albania,2005,0.09739851392160659
Albania,2006,0.05843157489669662
Albania,2007,0.029315590055901695
Albania,2008,0.006860576998367317
Albania,2009,-0.01756893665003343
Albania,2010,-0.005698858742015243
Albania,2011,0.015722580758200308
Albania,2012,-0.0017575305271223074
Albania,2013,-0.015044737031845013
Albania,2014,-0.03171118225761362
Albania,2015,-0.05249666668513765
Albania,2016,-0.00010617987675196573
Albania,2017,0.006110047195447283
Albania,2018,0.004416139005044139
Estonia,1992,1.1663688923220834
Estonia,1993,1.2916860300316997
Estonia,1994,1.40788543310764
Estonia,1995,1.389047292792153
Estonia,1996,1.2760892275959366
Estonia,1997,1.3159504567507498
Estonia,1998,1.4109214785243462
Estonia,1999,1.4001402018973277
Estonia,2000,1.452106652359005
Estonia,2001,1.5619243386597272
Estonia,2002,1.6046937011607911
Estonia,2003,1.6037533102361676
Estonia,2004,1.7188131887294413
Estonia,2005,1.775360063672691
Estonia,2006,1.872263673161209
Estonia,2007,1.9729483807659247
Estonia,2008,1.9033926135911554
Estonia,2009,1.899608075283387
Estonia,2010,1.823347512843834
Estonia,2011,1.8849618240529296
Estonia,2012,1.924939855425689
Estonia,2013,1.7711793892267464
Estonia,2014,1.7076921290166562
Estonia,2015,1.615682568031671
Estonia,2016,1.5845057377082712
Estonia,2017,1.4499270511175495
Estonia,2018,1.33786357790642
Guatemala,1992,0.39821248786233177
Guatemala,1993,0.43930108451329364
Guatemala,1994,0.4390942922998734
Guatemala,1995,0.32121213363666035
Guatemala,1996,0.26396732147299173
Guatemala,1997,0.34959690757085143
Guatemala,1998,0.41467061121554544
Guatemala,1999,0.3539482544050711
Guatemala,2000,0.3566912487315421
Guatemala,2001,0.23104535069910498
